VectorSize,CompileTime,PlaintextComputeTime,FHEComputeTime
50.0,0.534047,6.9141387939453125e-06,0.280233
50.0,0.54498,7.152557373046875e-06,0.295093
50.0,0.280986,7.867813110351562e-06,0.264278
500.0,2.49601,3.910064697265625e-05,0.297455
500.0,2.496541,3.361701965332031e-05,0.317874
200.0,1.161486,1.5735626220703125e-05,0.297571
200.0,0.886538,1.5974044799804688e-05,0.27144
200.0,1.118279,1.883506774902344e-05,0.295442
200.0,0.831473,2.09808349609375e-05,0.274836
200.0,0.863042,1.621246337890625e-05,0.269435
10.0,0.395001,4.76837158203125e-06,0.289037
10.0,0.136559,5.0067901611328125e-06,0.2578
10.0,0.13043,9.059906005859377e-06,0.254904
10.0,0.136805,5.0067901611328125e-06,0.265503
10.0,0.128869,3.814697265625e-06,0.276547
25.0,0.409638,6.198883056640625e-06,0.407356
25.0,0.195419,5.9604644775390625e-06,0.270568
25.0,0.189418,4.76837158203125e-06,0.253514
25.0,0.191081,7.152557373046875e-06,0.256011
25.0,0.187235,7.152557373046875e-06,0.256511
50.0,0.536322,8.106231689453125e-06,0.308788
50.0,0.283477,8.821487426757812e-06,0.256905
100.0,0.492983,1.0967254638671877e-05,0.282477
100.0,0.461383,1.0013580322265623e-05,0.260357
100.0,0.476219,1.1205673217773438e-05,0.278485
100.0,0.460544,1.1920928955078123e-05,0.31263
100.0,0.481897,1.2874603271484377e-05,0.259961
500.0,2.226308,3.409385681152344e-05,0.29623
500.0,2.385446,3.409385681152344e-05,0.309565
1000.0,5.021747,6.29425048828125e-05,0.344604
1000.0,5.051926,7.176399230957031e-05,0.320882
1000.0,4.943917,7.224082946777344e-05,0.317151
1000.0,4.996176,8.082389831542969e-05,0.334741
1000.0,5.087325,6.413459777832031e-05,0.341261
2000.0,12.045813,0.0001401901245117,0.373342
2000.0,12.456178,0.0001239776611328,0.353323
2000.0,12.734774,0.0001242160797119,0.364983
2000.0,12.687377,0.0001251697540283,0.365398
2000.0,12.285326,0.0001239776611328,0.365989
2000.0,12.44449,0.0001239776611328,0.372257
2500.0,17.024985,0.0001540184020996,0.389405
2500.0,17.427059,0.0001590251922607,0.386013
2500.0,16.787284,0.000154972076416,0.394293
2500.0,16.340633,0.0001552104949951,0.413311
2500.0,17.4723,0.0001769065856933,0.385779
5000.0,47.396411,0.0003008842468261,0.446481
5000.0,56.5223,0.0003018379211425,0.481244
5000.0,46.838513,0.0003058910369873,0.467235
5000.0,51.951958,0.0003437995910644,0.451018
5000.0,45.148854,0.0003719329833984,0.481883
10000.0,171.83679,0.0006041526794433,0.698183
10000.0,148.509971,0.000676155090332,0.792954
10000.0,213.104492,0.000601053237915,0.745522
10000.0,159.583581,0.0006749629974365,0.711633
10000.0,152.268222,0.000680923461914,0.923953
100.0,0.854207,1.0013580322265623e-05,0.285264
100.0,0.474939,1.0967254638671875e-05,0.274654
